SiteID,LONGITUDE,LATITUDE,NAME
20058,-74.126041,44.517089,LITTLE HOPE POND
20059,-74.126729,44.513597,BIG HOPE POND
20126,-74.357208,44.305758,LITTLE ECHO POND
20138,-74.373219,44.313765,EAST COPPERAS POND
20143,-74.371978,44.337283,MIDDLE POND
20188,-74.30065,44.346088,SUNDAY POND
20197,-74.294244,44.352824,SOCHIA POND
20233,-73.90304,44.323272,OWEN POND
20264,-73.967264,44.180503,HEART LAKE
20265,-73.951398,44.158855,MARCY DAM POND
30171,-74.495622,44.656984,GRASS POND
30172,-74.496322,44.660217,LITTLE CLEAR POND
30255,-74.298133,44.432194,BLACK POND OUTLET
30256,-74.298566,44.435068,BLACK POND
40186,-75.04253,43.963601,LOON HOLLOW POND
40210,-74.957396,43.970776,WILLYS LAKE
40576,-74.952681,43.870078,WOODS LAKE
40704,-75.101427,43.682807,MIDDLE SETTLEMENT LAKE
40706,-75.060844,43.693004,GRASS POND
40707,-75.100869,43.699117,MIDDLE BRANCH LAKE
40739,-74.91592,43.760879,LAKE RONDAXE
40746,-74.852986,43.781396,MOSS LAKE
40747,-74.812042,43.789104,CASCADE LAKE
40748,-74.846406,43.774988,BUBB LAKE
40750,-74.872572,43.793758,DART LAKE
40752,-74.856111,43.816874,BIG MOOSE LAKE
40753,-74.88296,43.81189,WEST POND
40754,-74.886135,43.825567,SQUASH POND
40777,-74.80642,43.831008,CONSTABLE POND
40826,-74.812459,43.713005,LIMEKILN LAKE
40850,-74.739599,43.635083,SQUAW LAKE
40852,-74.760748,43.622864,INDIAN LAKE
40874,-74.660624,43.600966,BROOK TROUT LAKE
40887,-74.557932,43.646729,LOST POND
40905,-75.227007,43.566259,BARNES LAKE
41004,-74.875888,43.510956,SOUTH LAKE
41007,-74.939567,43.527752,NORTH LAKE
50215,-74.24624,43.370287,WILLIS LAKE
50259,-74.591444,43.302775,JOCKEYBUSH LAKE
50458,-73.83082,43.995675,CLEAR POND
50577,-74.090344,43.857403,NATE POND
50649,-74.479025,43.837892,LONG POND
50669,-74.488558,43.682037,CARRY POND
50684,-74.235563,43.982301,ARBUTUS POND
50706,-73.982608,44.119375,LAKE COLDEN
50707,-73.969826,44.130562,AVALANCHE LAKE
60182,-74.441303,44.161537,LITTLE SIMON POND
60313,-74.628371,43.76605,SAGAMORE LAKE
60329,-74.803521,43.805956,QUEER LAKE
70728,-74.503201,43.18109,OTTER LAKE STREAM
70729,-74.504155,43.184663,OTTER LAKE
70859,-74.633945,43.417142,G LAKE
060315A,-74.651303,43.794924,RAQUETTE LAKE RESERVOIR
